iter	Passed	Remaining
650	106662	16277691
651	106840	16279690
652	107005	16279794
653	107195	16283521
654	107347	16281530
655	107503	16280297
656	107670	16280554
657	107844	16281922
658	107990	16279087
659	108136	16276241
660	108282	16273404
661	108426	16270191
662	108585	16269302
663	108727	16265894
664	108915	16269385
665	109061	16266560
666	109232	16267430
667	109399	16267821
668	109563	16267588
669	109713	16265496
670	109856	16262137
671	110044	16265597
672	110208	16265540
673	110353	16262544
674	110518	16262622
675	110677	16261713
676	110851	16263089
677	111009	16262081
678	111161	16260214
679	111295	16255660
680	111466	16256623
681	111608	16253316
682	111754	16250600
683	111918	16250422
684	112091	16251658
685	112237	16248960
686	112427	16252586
687	112616	16256091
688	112786	16256872
689	112976	16260377
690	113122	16257663
691	113287	16257708
692	113472	16260615
693	113652	16262733
694	113851	16267706
695	113995	16264645
696	114140	16261870
697	114304	16261715
698	114436	16256963
699	114607	16257887
700	114790	16260469
701	114974	16263142
702	115159	16265938
703	115313	16264513
704	115467	16262948
705	115633	16263012
706	115773	16259591
707	115945	16260559
708	116088	16257458
709	116264	16259076
710	116413	16256754
711	116581	16257183
712	116754	16258308
713	116934	16260417
714	117108	16261770
715	117278	16262378
716	117419	16259011
717	117581	16258699
718	117744	16258339
719	117907	16258103
720	118047	16254744
721	118205	16253680
722	118341	16249776
723	118478	16245978
724	118621	16242907
725	118766	16240241
726	118952	16243185
727	119131	16245067
728	119334	16250265
729	119537	16255414
730	119697	16254735
731	119853	16253563
732	120027	16254845
733	120178	16252950
734	120335	16251780
735	120477	16248800
736	120638	16248203
737	120834	16252451
738	121005	16253282
739	121178	16254303
740	121330	16252513
741	121495	16252591
742	121687	16256216
743	121851	16255988
744	122007	16254774
745	122185	16256630
746	122329	16253802
747	122469	16250451
748	122612	16247526
749	122750	16244011
750	122912	16243569
751	123094	16245849
752	123279	16248559
753	123423	16245786
754	123563	16242458
755	123722	16241674
756	123895	16242773
757	124056	16242232
758	124206	16240229
759	124351	16237722
760	124516	16237704
761	124670	16236274
762	124822	16234655
763	125017	16238553
764	125156	16235131
765	125300	16232515
766	125451	16230631
767	125588	16227073
768	125751	16226787
769	125918	16227111
770	126110	16230696
771	126268	16229775
772	126420	16228109
773	126572	16226488
774	126733	16225997
775	126910	16227496
776	127039	16222937
777	127203	16222827
778	127369	16223063
779	127514	16220443
780	127692	16222209
781	127861	16222727
782	128041	16224642
783	128198	16223684
784	128341	16220881
785	128505	16220834
786	128650	16218281
787	128787	16214861
788	128935	16212753
789	129101	16212890
790	129283	16215020
791	129439	16213992
792	129583	16211299
793	129758	16212655
